id,CreationDate,Score,ViewCount,Tags
"102024","2021-09-13 04:03:32","1","284","<cnn><convolutional-neural-network><pytorch>"
"102036","2021-09-13 08:46:22","5","1029","<deep-learning><neural-network><weight-initialization>"
"102038","2021-09-13 09:54:00","0","43","<machine-learning><clustering><recommender-system>"
"102040","2021-09-13 11:03:28","1","30","<cost-function><softmax>"
"102042","2021-09-13 12:56:54","2","173","<shap><interpretation><marketing>"
"102043","2021-09-13 13:43:04","1","32","<deep-learning><generative-models><neural-style-transfer>"
"102048","2021-09-13 17:44:20","2","19","<machine-learning><deep-learning><statistics><gaussian-process>"
"102050","2021-09-13 18:27:08","2","106","<machine-learning><decision-trees><xgboost><lightgbm>"
"102053","2021-09-13 20:23:26","1","519","<python><python-3.x><fuzzy-logic>"
"71480","2020-03-31 10:05:00","-1","25","<machine-learning><neural-network><deep-learning><cnn><convolution>"
"71481","2020-03-31 10:32:33","1","6472","<python><keras><tensorflow><cnn>"
"71482","2020-03-31 10:43:12","7","1765","<python>"
"71484","2020-03-31 11:34:08","1","135","<visualization><plotting>"
"71488","2020-03-31 12:51:11","1","36","<machine-learning><data-mining>"
"71494","2020-03-31 13:48:47","1","616","<machine-learning><data-mining><clustering><statistics>"
"71496","2020-03-31 14:02:22","1","102","<decision-trees><prediction><interpretation><shap>"
"71500","2020-03-31 14:49:29","0","23","<apache-hadoop>"
"71502","2020-03-31 15:18:16","0","160","<convolution><convolutional-neural-network>"
"71505","2020-03-31 16:22:46","1","23","<classification><dataset>"
"71512","2020-03-31 19:31:52","1","346","<nlp><text-mining>"
"71515","2020-03-31 20:37:51","3","6169","<scikit-learn><class-imbalance>"
"71518","2020-03-31 22:03:33","0","73","<hyperparameter><hyperparameter-tuning><bayesian><bayesian-networks><gaussian-process>"
"71524","2020-03-31 23:55:57","1","27","<neural-network><deep-learning><optimization>"
"71527","2020-04-01 00:47:32","0","832","<machine-learning><python><xgboost><feature-engineering><encoding>"
"71530","2020-04-01 05:36:54","0","60","<machine-learning><dataset><regression><machine-learning-model><data-science-model>"
"71531","2020-04-01 05:43:40","0","30","<nlp>"
"71535","2020-04-01 08:03:19","0","455","<machine-learning><neural-network><deep-learning><image-classification><image-recognition>"
"71536","2020-04-01 08:27:11","1","1374","<tensorflow>"
"71543","2020-04-01 11:45:35","1","86","<classification><time-series><regression>"
"71544","2020-04-01 11:50:43","3","624","<neural-network><pytorch><deep-learning>"
"71545","2020-04-01 12:32:03","1","334","<neural-network><keras><reshape><multi-output>"
"71550","2020-04-01 14:27:11","1","110","<machine-learning><neural-network><deep-learning><classification><decision-trees>"
"71551","2020-04-01 14:42:42","5","175","<machine-learning><algorithms><sequence>"
"71553","2020-04-01 15:07:25","1","53","<machine-learning><regression><metric>"
"71554","2020-04-01 15:10:00","0","80","<machine-learning><predictive-modeling><statistics>"
"71557","2020-04-01 16:17:14","1","56","<machine-learning><deep-learning><cnn><computer-vision>"
"71558","2020-04-01 17:14:29","2","1727","<machine-learning><nlp><multilabel-classification><text-classification>"
"71560","2020-04-01 17:44:13","1","38","<python><deep-learning><keras><nlp><convolutional-neural-network>"
"71562","2020-04-01 18:18:59","0","381","<neural-network><keras><training><image-preprocessing><convolutional-neural-network>"
"71563","2020-04-01 18:36:07","1","558","<probability>"
"71564","2020-04-01 18:49:11","0","735","<nlp><spacy><implementation>"
"71566","2020-04-01 19:06:07","0","50","<python>"
"71576","2020-04-01 23:17:23","2","3766","<scikit-learn><regression><xgboost><loss-function><lightgbm>"
"71577","2020-04-01 23:27:17","0","25","<pandas>"
"71581","2020-04-02 00:22:37","0","589","<deep-learning><keras><loss-function>"
"71583","2020-04-02 01:03:59","0","206","<neural-network><deep-learning><image-classification><computer-vision><image-recognition>"
"71591","2020-04-02 06:32:22","1","41","<time-series>"
"71592","2020-04-02 06:33:38","1","586","<embeddings>"
"71593","2020-04-02 08:18:42","0","697","<neural-network><keras><tensorflow><cnn><training>"
"71594","2020-04-02 08:26:55","1","1966","<lstm><performance>"
"71602","2020-04-02 11:00:55","0","112","<machine-learning><neural-network><gpu><hardware><cuda>"
"71606","2020-04-02 11:57:56","1","369","<machine-learning><deep-learning><optimization><variance><mathematics>"
"71607","2020-04-02 12:03:57","0","181","<python><python-3.x>"
"71610","2020-04-02 12:29:02","1","87","<deep-learning><cnn><pytorch><accuracy><graphs>"
"71615","2020-04-02 13:06:55","1","384","<lda>"
"71616","2020-04-02 14:05:11","1","93","<neural-network><statistics>"
"71619","2020-04-02 14:24:19","1","551","<deep-learning><computer-vision><gradient-descent><implementation>"
"9129","2015-11-30 11:31:55","1","228","<dataset><regression>"
"9131","2015-11-30 14:32:56","4","215","<data-mining><dataset>"
"9134","2015-11-30 16:08:12","6","6769","<machine-learning><classification><algorithms><xgboost>"
"9136","2015-11-30 17:45:34","1","403","<text-mining><data-cleaning><data-wrangling>"
"9138","2015-12-01 04:53:16","2","192","<data-mining><dataset><statistics><text-mining>"
"9140","2015-12-01 06:13:35","1","140","<r><clustering><similarity>"
"9156","2015-12-01 21:26:44","2","157","<machine-learning><predictive-modeling><forecast>"
"9159","2015-12-02 01:06:28","15","74894","<machine-learning><algorithms><random-forest><linear-regression><decision-trees>"
"9165","2015-12-02 08:50:48","2","50","<predictive-modeling><regression>"
